Profile,Profile_no,Stage,Datetime,Latitude,Longitude,MLD,Sun_angle,Kd380,Kd443,Kd490,Kd555
10,10,590,12-Nov-2023 12:36:02,55.0928265,14.5232945,13.6,13.5386165903191,1.08788339847728,0.406940445036368,0.234695991170136,0.19357834666658
11,11,190,12-Nov-2023 13:00:32,55.0928265,14.5232945,11,11.7958856012445,1.03324686205277,0.397964077304232,0.230778438774399,0.18814453415622
11,11,590,13-Nov-2023 12:39:28,55.0866893333333,14.521662,20.2,13.0709087320312,1.09866616725097,0.417558796013223,0.22392138005375,0.191502116699402
12,12,190,13-Nov-2023 13:03:50,55.0866893333333,14.521662,20,11.301275380546,1.06669501852531,0.409275734093716,0.237125980348777,0.202305422538593
12,12,590,14-Nov-2023 12:38:06,55.0821826666667,14.5193915,21,12.9215950256652,1.09492939493054,0.390623791862518,0.191898256237095,0.154764458161767
13,13,190,14-Nov-2023 13:01:30,55.0821826666667,14.5193915,18.4,11.2493548228813,1.05046582079537,0.402349058966504,NaN,NaN
13,13,590,15-Nov-2023 12:40:03,55.0700851666667,14.518581,21,12.5670383068147,NaN,0.423286060635124,0.218353802429008,0.170544972010089
14,14,190,15-Nov-2023 13:04:45,55.0700851666667,14.518581,21,10.777020144638,1.00456688575056,0.405592497385158,0.241394503775021,0.195564776371257
14,14,590,16-Nov-2023 12:38:54,55.0606426666667,14.5268275,32,12.4182386813488,NaN,0.354589017480051,0.188571308929928,0.151051159558812
15,15,190,16-Nov-2023 13:12:02,55.0606426666667,14.5268275,31.8,9.97371900606279,1.00441111391601,0.403596477255077,0.240857643028123,0.214311825091946
15,15,590,21-Nov-2023 12:42:05,55.0640896666667,14.5247663333333,30.2,11.1490799732546,1.08002093266442,0.39985570680618,0.219803509542937,0.197527515982361
16,16,190,21-Nov-2023 13:07:26,55.0640896666667,14.5247663333333,30.4,9.32011307625777,0.976869893657149,0.357795843961927,0.198450002176598,0.169194655091288
16,16,590,26-Nov-2023 13:06:28,55.0687123333333,14.5371133333333,23.4,8.53088604436353,1.10815875580643,0.466240068570016,0.260810076546575,0.221097597855101
17,17,190,26-Nov-2023 13:31:02,55.0687123333333,14.5371133333333,21.8,6.51480926125486,1.16757939653279,0.453450804956722,0.25881263247759,0.21847816455913
17,17,590,01-Dec-2023 12:39:03,55.0626885,14.5476206666667,11,9.72189128625721,1.05592465951947,0.409341456358198,0.232157683501567,0.191308121130452
